               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.014691,           0.0042958,            0.001144,             0.99509,             0.97467,             0.98714,              0.8857,           0.0091757,           0.0025502,           0.0006644,             0.00835,             0.00835,             0.00835
                 102,            0.014501,           0.0042833,           0.0011594,             0.99501,             0.97481,             0.98711,             0.88586,           0.0091659,           0.0025474,            0.000664,           0.0083335,           0.0083335,           0.0083335
                 103,             0.01469,           0.0042289,           0.0011419,             0.99504,             0.97491,             0.98713,             0.88638,           0.0091493,           0.0025437,          0.00066293,            0.008317,            0.008317,            0.008317
                 104,            0.015101,           0.0044531,           0.0015049,             0.99493,             0.97481,             0.98711,               0.885,            0.009139,           0.0025411,          0.00065965,           0.0083005,           0.0083005,           0.0083005
                 105,             0.01481,           0.0043031,           0.0012488,             0.99495,             0.97474,             0.98723,             0.88455,           0.0091366,             0.00254,          0.00065737,            0.008284,            0.008284,            0.008284
                 106,             0.01461,           0.0042213,           0.0011272,             0.99496,             0.97469,             0.98713,             0.88543,           0.0091254,           0.0025373,          0.00065612,           0.0082675,           0.0082675,           0.0082675
                 107,            0.014518,           0.0042325,           0.0010454,              0.9949,             0.97468,             0.98718,             0.88564,           0.0091164,           0.0025345,          0.00065574,            0.008251,            0.008251,            0.008251
                 108,            0.014262,           0.0041607,           0.0011307,             0.99488,             0.97481,             0.98725,             0.88629,           0.0091044,           0.0025304,          0.00065557,           0.0082345,           0.0082345,           0.0082345
                 109,             0.01484,           0.0043652,           0.0013388,             0.99489,             0.97481,             0.98726,             0.88607,           0.0091069,           0.0025294,          0.00065808,            0.008218,            0.008218,            0.008218
                 110,            0.014446,           0.0042445,           0.0011067,             0.99482,             0.97483,             0.98726,             0.88704,           0.0091013,           0.0025278,          0.00066169,           0.0082015,           0.0082015,           0.0082015
                 111,            0.014347,           0.0042459,          0.00097312,              0.9948,             0.97485,              0.9873,              0.8873,           0.0090936,           0.0025248,          0.00066223,            0.008185,            0.008185,            0.008185
                 112,            0.014327,           0.0041708,           0.0010377,             0.99474,             0.97484,             0.98727,             0.88755,           0.0090965,           0.0025231,          0.00066258,           0.0081685,           0.0081685,           0.0081685
                 113,            0.015079,           0.0044038,           0.0017419,             0.99464,             0.97483,             0.98739,             0.88731,           0.0090884,             0.00252,           0.0006591,            0.008152,            0.008152,            0.008152
                 114,            0.014787,           0.0043411,           0.0013272,              0.9962,             0.97725,             0.98965,             0.88787,           0.0090838,           0.0025195,          0.00065693,           0.0081355,           0.0081355,           0.0081355
                 115,            0.014652,           0.0043441,           0.0013223,             0.99616,             0.97726,             0.98965,             0.88788,           0.0090762,           0.0025189,          0.00065717,            0.008119,            0.008119,            0.008119
                 116,            0.014505,           0.0042638,           0.0011392,             0.99632,             0.97715,             0.98754,             0.88665,           0.0090759,           0.0025175,          0.00065641,           0.0081025,           0.0081025,           0.0081025
                 117,            0.014406,           0.0042124,           0.0011586,             0.99633,             0.97712,             0.98754,             0.88642,           0.0090638,           0.0025155,          0.00065572,            0.008086,            0.008086,            0.008086
                 118,             0.01435,           0.0042331,           0.0010873,             0.99635,             0.97714,             0.98754,             0.88663,           0.0090567,           0.0025139,          0.00065443,           0.0080695,           0.0080695,           0.0080695
                 119,             0.01415,           0.0042916,            0.001021,             0.99635,             0.97711,             0.98741,             0.88664,           0.0090567,           0.0025133,           0.0006541,            0.008053,            0.008053,            0.008053
                 120,            0.014308,           0.0041694,           0.0012071,             0.99426,             0.97506,             0.98624,             0.88603,           0.0090484,           0.0025125,          0.00065261,           0.0080365,           0.0080365,           0.0080365
                 121,            0.014702,             0.00427,           0.0012582,              0.9943,             0.97511,             0.98624,             0.88624,           0.0090391,           0.0025114,          0.00065172,             0.00802,             0.00802,             0.00802
                 122,            0.014325,           0.0042281,           0.0011227,             0.99421,             0.97519,             0.98835,             0.88885,           0.0090285,           0.0025083,          0.00064958,           0.0080035,           0.0080035,           0.0080035
                 123,            0.014627,           0.0043016,           0.0013242,             0.99425,             0.97516,             0.98632,             0.88823,           0.0090202,           0.0025057,          0.00064871,            0.007987,            0.007987,            0.007987
                 124,            0.014341,           0.0042274,           0.0010457,             0.99423,             0.97515,             0.98839,             0.88824,           0.0090114,            0.002504,          0.00064793,           0.0079705,           0.0079705,           0.0079705
                 125,            0.014155,           0.0041794,           0.0010238,             0.99423,             0.97511,              0.9884,             0.88969,           0.0090084,           0.0025033,          0.00064882,            0.007954,            0.007954,            0.007954
                 126,            0.014239,           0.0041997,           0.0012027,             0.99424,             0.97513,             0.98844,             0.88761,           0.0090041,           0.0025027,          0.00064845,           0.0079375,           0.0079375,           0.0079375
                 127,            0.014046,           0.0041079,           0.0012347,             0.99424,             0.97515,             0.98844,             0.88766,           0.0090022,           0.0025015,          0.00064685,            0.007921,            0.007921,            0.007921
                 128,            0.014018,           0.0040611,          0.00099882,             0.99424,             0.97519,             0.98839,             0.88668,           0.0089937,           0.0024987,          0.00064485,           0.0079045,           0.0079045,           0.0079045
